txn_id,value_date,description,credit,debit,reference
BNK_7rMMfNKK,14-08-2026,RAZORPAY*Urban Company,243.60,,RPAY6756332150
BNK_Mb3HNspY,04-08-2026,RAZORPAY*RAZORPAY*SWIGGY,524.63,,RPAY6927597015
BNK_VFgohBid,09-08-2026,RAZORPAY*Blinkit,437.04,,
BNK_1juJtVEF,20-08-2026,RAZORPAY*Amazon,518.97,,RPAY5567816720
BNK_ragiqwzc,19-08-2026,RAZORPAY*Zepto,874.96,,RPAY3615507143
BNK_fx9IwiLy,18-08-2026,RAZORPAY*Amazon,"2,415.03",,RPAY6004182187
BNK_M0KFFEID,03-08-2026,RAZORPAY*Myntra,"20,650.79",,RPAY3208283728
BNK_SKkMM0jQ,07-08-2026,RAZORPAY*Swiggy India,261.87,,RPAY2926780541
BNK_I9Dx7CHH,10-08-2026,RAZORPAY*Zepto Online,"2,093.30",,RPAY8380507338
BNK_DI5SrJH3,20-08-2026,RAZORPAY*AJIO Pvt Ltd,174.29,,RPAY5647083348
BNK_H5RiMKpP,06-08-2026,RAZORPAY*Blinkit,"7,957.17",,RPAY3271782991
BNK_Dm7tO4fJ,21-08-2026,RAZORPAY*RAZORPAY*Blinkit,"6,264.43",,RPAY9503167458
BNK_6752aJg8,20-08-2026,RAZORPAY*Cult.fit,218.08,,RPAY4218981849
BNK_plTXJUk1,07-08-2026,RAZORPAY*Myntra,"4,761.51",,RPAY7006365648
BNK_QN6wn7DC,01-08-2026,RAZORPAY*BookMyShow Pvt Ltd,218.22,,RPAY6600100279
BNK_mKfFYCFC,20-08-2026,RAZORPAY*Cult.fit,"1,731.93",,RPAY8995059760
BNK_95e5bzVV,13-08-2026,RAZORPAY*CRED,"9,137.26",,RPAY3987248494
BNK_lHGTnabs,31-07-2026,RAZORPAY*AJIO,486.94,,RPAY9190197115
BNK_63oeKBP2,02-08-2026,RAZORPAY*Urban Company,524.63,,RPAY4239406957
BNK_VYo29Gzr,07-08-2026,RAZORPAY*BookMyShow,305.67,,RPAY9916336966
BNK_RzslHon1,06-08-2026,RAZORPAY*Zomato,"2,165.13",,RPAY7371573279
BNK_xHZdxLce,08-08-2026,RAZORPAY*Flipkart,243.60,,RPAY8387664437
BNK_otrCOtw2,18-08-2026,RAZORPAY*Blinkit,"1,298.73",,RPAY3964229896
BNK_Vtmtc1Tb,18-08-2026,RAZORPAY*AJIO,"1,137.71",,RPAY7351029162
BNK_Y7NEkXkS,19-08-2026,RAZORPAY*Nykaa,"2,626.64",,RPAY9547119184
BNK_NejnCdN5,19-08-2026,RAZORPAY*Zepto,"1,730.81",,RPAY5010075517
BNK_gfjlGYqy,02-08-2026,RAZORPAY*AJIO,"4,331.13",,RPAY1392245997
BNK_xDNRf0Nu,13-08-2026,RAZORPAY*Zepto,"16,155.42",,RPAY3362646960
BNK_l0amiYY5,20-08-2026,RAZORPAY*Swiggy,215.59,,RPAY5975196341
BNK_8dBZvV7y,11-08-2026,RAZORPAY*Zepto,"2,926.54",,RPAY7475684019
BNK_XSfjSNTt,22-08-2026,RAZORPAY*BookMyShow Pvt Ltd,"14,537.61",,RPAY5948254671
BNK_vfLuxsyf,18-08-2026,RAZORPAY*MakeMyTrip,"19,692.21",,RPAY9744120054
BNK_MXuuY18i,20-08-2026,RAZORPAY*CRED,"11,864.70",,RPAY3934040683
BNK_6mt78sRE,20-08-2026,RAZORPAY*CRED,"5,595.47",,RPAY3934040683
BNK_xYyhIKHQ,19-08-2026,RAZORPAY*Flipkart,"1,298.73",,RPAY8298348088
BNK_NpOSWe9D,21-08-2026,RAZORPAY*Swiggy,"1,137.71",,RPAY5464285982
BNK_VOwOc8Qy,08-08-2026,RAZORPAY*Swiggy,218.08,,RPAY9503787171
BNK_vbgz7h6i,21-08-2026,RAZORPAY*MakeMyTrip Online,138.90,,RPAY2753617371
BNK_vgX5TFIu,15-08-2026,RAZORPAY*Flipkart,691.80,,RPAY5082603360
