entry_id,entry_date,account,description,debit,credit,reference
LED_M3u5c1f6,14/08/2026,Sales - Urban Company,Urban Company Order order_mOHnKYa,,349,order_mOHnKYa
LED_CQjzCvi1,04/08/2026,Sales - Swiggy,Swiggy Order order_M1JRcor,,599,order_M1JRcor
LED_tb6F7nvd,20/08/2026,Sales - Amazon,Amazon Order order_9iEU1jj,,599,order_9iEU1jj
LED_IwrxBIZM,17/08/2026,Sales - Zepto,Zepto Order order_72qFl41,,999,order_72qFl41
LED_cSXGj3i5,18/08/2026,Sales - Amazon,Amazon Order order_JeTY8Hh,,2499,order_JeTY8Hh
LED_ugzt32NL,03/08/2026,Sales - Myntra,Myntra Order order_bIKaRde,,23578,order_bIKaRde
LED_6gbtjQzW,07/08/2026,Sales - Swiggy,Swiggy Order order_1dOOdTX,,299,order_1dOOdTX
LED_LlpIn8sr,10/08/2026,Sales - Zepto Pvt Ltd,Zepto Pvt Ltd Order order_kEnydx9,,2999,order_kEnydx9
LED_vVjc7e5O,20/08/2026,Sales - AJIO,AJIO Order order_lKPoh3p,,199,order_lKPoh3p
LED_NdzSgVaI,06/08/2026,Sales - Blinkit,Blinkit Order order_9enq522,,9085,order_9enq522
LED_S64k2k59,21/08/2026,Sales - Blinkit,Blinkit Order order_Fp4dNZc,,7072,order_Fp4dNZc
LED_9HE60Dlg,20/08/2026,Sales - Cult.fit,Cult.fit Order order_X13npgW,,249,order_X13npgW
LED_FfPliupq,09/08/2026,Sales - Myntra,Myntra Order order_1nYCsXo,,5496,order_1nYCsXo
LED_uKJqwoPC,14/08/2026,Sales - Zepto,Zepto Order order_ATtLFxJ,,999,order_ATtLFxJ
LED_zIDHPnpU,01/08/2026,Sales - BookMyShow,BookMyShow Order order_IlPxUkJ,,249,order_IlPxUkJ
LED_w4gZ3mHk,15/08/2026,Sales - AJIO,AJIO Order order_7otYjc9,,799,order_7otYjc9
LED_CYSyYUJc,20/08/2026,Sales - Cult.fit,Cult.fit Order order_0CXP9K6,,1999,order_0CXP9K6
LED_x3B4xe72,13/08/2026,Sales - , Order order_xjnzuCd,,10546,order_xjnzuCd
LED_GZpvr6Sg,01/08/2026,Sales - RAZORPAY*AJIO,RAZORPAY*AJIO Order order_EyPXS05,,499,order_EyPXS05
LED_cBHUWi9o,02/08/2026,Sales - Urban Company,Urban Company Order order_pfbH9vO,,599,order_pfbH9vO
